iter	Passed	Remaining
0	190	47448
1	238	29622
2	285	23487
3	333	20487
4	384	18841
5	435	17691
6	486	16901
7	535	16199
8	584	15657
9	633	15205
10	680	14775
11	732	14520
12	783	14279
13	828	13970
14	871	13648
15	912	13349
16	952	13059
17	995	12827
18	1038	12624
19	1083	12462
20	1127	12291
21	1172	12149
22	1214	11990
23	1256	11829
24	1294	11654
25	1331	11471
26	1369	11307
27	1408	11163
28	1442	10994
29	1476	10828
30	1511	10678
31	1545	10530
32	1579	10389
33	1613	10251
34	1648	10127
35	1688	10034
36	1722	9916
37	1757	9805
38	1791	9690
39	1826	9589
40	1859	9479
41	1894	9380
42	1928	9282
43	1960	9178
44	1993	9080
45	2025	8981
46	2057	8886
47	2089	8791
48	2121	8704
49	2154	8618
50	2186	8532
51	2220	8453
52	2252	8371
53	2286	8298
54	2319	8224
55	2351	8145
56	2386	8081
57	2421	8014
58	2453	7943
59	2485	7871
60	2518	7803
61	2550	7733
62	2586	7677
63	2623	7623
64	2657	7564
65	2692	7505
66	2726	7446
67	2760	7387
68	2792	7326
69	2829	7275
70	2869	7233
71	2905	7183
72	2939	7128
73	2972	7069
74	3007	7017
75	3041	6963
76	3076	6912
77	3110	6858
78	3142	6802
79	3175	6746
80	3208	6693
81	3243	6644
82	3279	6599
83	3314	6549
84	3345	6495
85	3380	6447
86	3415	6399
87	3450	6351
88	3485	6304
89	3518	6254
90	3553	6209
91	3588	6163
92	3622	6115
93	3659	6072
94	3691	6023
95	3725	5976
96	3758	5927
97	3790	5879
98	3826	5836
99	3859	5788
100	3892	5743
101	3927	5699
102	3963	5655
103	3997	5611
104	4031	5567
105	4064	5521
106	4096	5474
107	4127	5426
108	4160	5381
109	4191	5335
110	4223	5289
111	4255	5243
112	4287	5197
113	4320	5154
114	4353	5110
115	4388	5069
116	4420	5025
117	4460	4989
118	4501	4955
119	4540	4919
120	4581	4884
121	4628	4855
122	4672	4824
123	4711	4787
124	4747	4747
125	4785	4709
126	4822	4670
127	4855	4628
128	4889	4586
129	4920	4541
130	4952	4498
131	4985	4456
132	5018	4414
133	5051	4372
134	5084	4331
135	5118	4290
136	5151	4248
137	5189	4211
138	5222	4170
139	5255	4129
140	5289	4089
141	5325	4050
142	5361	4011
143	5394	3970
144	5430	3932
145	5463	3891
146	5496	3851
147	5527	3809
148	5560	3769
149	5592	3728
150	5625	3688
151	5659	3648
152	5691	3608
153	5726	3569
154	5765	3533
155	5801	3495
156	5836	3457
157	5871	3418
158	5906	3380
159	5940	3341
160	5972	3301
161	6006	3262
162	6040	3223
163	6072	3184
164	6105	3145
165	6138	3106
166	6172	3067
167	6207	3029
168	6240	2990
169	6272	2951
170	6304	2912
171	6338	2874
172	6374	2836
173	6405	2797
174	6437	2759
175	6472	2721
176	6506	2683
177	6540	2645
178	6572	2606
179	6607	2569
180	6638	2530
181	6671	2492
182	6705	2455
183	6740	2417
184	6771	2379
185	6805	2341
186	6836	2303
187	6869	2265
188	6902	2227
189	6935	2190
190	6966	2152
191	7005	2116
192	7042	2079
193	7078	2043
194	7112	2006
195	7148	1969
196	7180	1931
197	7214	1894
198	7244	1856
199	7277	1819
200	7309	1781
201	7342	1744
202	7387	1710
203	7431	1675
204	7464	1638
205	7499	1601
206	7531	1564
207	7562	1527
208	7595	1490
209	7628	1453
210	7662	1416
211	7694	1379
212	7728	1342
213	7761	1305
214	7793	1268
215	7826	1232
216	7859	1195
217	7894	1158
218	7926	1122
219	7960	1085
220	7992	1048
221	8027	1012
222	8060	975
223	8093	939
224	8126	902
225	8161	866
226	8193	830
227	8227	793
228	8263	757
229	8300	721
230	8336	685
231	8371	649
232	8406	613
233	8438	577
234	8471	540
235	8503	504
236	8535	468
237	8567	431
238	8600	395
239	8635	359
240	8667	323
241	8701	287
242	8736	251
243	8771	215
244	8804	179
245	8837	143
246	8870	107
247	8902	71
248	8935	35
249	8968	0
