着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,date,surface,distance,condition
1,4,8,レガレイラ,牝3,54.0,戸崎圭太,2:31.8,,**,**,**,**,**,6-5-5-3,34.9,10.9,5.0,468(-4),,,,468(-4),,"50,340.2",202406050811,2024年12月22日,芝,2500,良
2,8,16,シャフリヤール,牡6,58.0,Ｃ．デム,2:31.8,ハナ,**,**,**,**,**,10-9-5-5,35.0,30.1,10.0,458(0),,,,458(0),,"20,097.2",202406050811,2024年12月22日,芝,2500,良
3,1,1,ダノンデサイル,牡3,56.0,横山典弘,2:32.0,1.1/2,**,**,**,**,**,1-1-1-1,35.4,4.0,2.0,520(-2),,,,520(-2),,"13,048.6",202406050811,2024年12月22日,芝,2500,良
4,3,5,ベラジオオペラ,牡4,58.0,横山和生,2:32.1,1/2,**,**,**,**,**,2-2-2-2,35.5,7.1,3.0,512(-2),,,,512(-2),,"7,500.0",202406050811,2024年12月22日,芝,2500,良
5,6,11,ジャスティンパレス,牡5,58.0,坂井瑠星,2:32.3,3/4,**,**,**,**,**,9-9-11-10,35.1,10.9,4.0,468(0),,,,468(0),,"5,000.0",202406050811,2024年12月22日,芝,2500,良
6,2,3,アーバンシック,牡3,56.0,ルメール,2:32.3,アタマ,**,**,**,**,**,7-8-11-8,35.1,2.8,1.0,516(+6),,,,516(+6),,,202406050811,2024年12月22日,芝,2500,良
7,3,6,ローシャムパーク,牡5,58.0,マーカン,2:32.3,ハナ,**,**,**,**,**,12-11-9-8,35.2,17.2,7.0,506(0),,,,506(0),,,202406050811,2024年12月22日,芝,2500,良
8,7,13,スタニングローズ,牝5,56.0,ムーア,2:32.4,1,**,**,**,**,**,7-5-5-5,35.5,27.1,9.0,496(-2),,,,496(-2),,,202406050811,2024年12月22日,芝,2500,良
9,7,14,ダノンベルーガ,牡5,58.0,松山弘平,2:32.5,クビ,**,**,**,**,**,15-15-15-13,34.9,122.4,15.0,496(+4),,,,496(+4),,,202406050811,2024年12月22日,芝,2500,良
10,6,12,シュトルーヴェ,セ5,58.0,鮫島克駿,2:32.6,1/2,**,**,**,**,**,12-11-9-10,35.5,108.1,14.0,478(0),,,,478(0),,,202406050811,2024年12月22日,芝,2500,良
11,5,10,プログノーシス,牡6,58.0,三浦皇成,2:32.6,アタマ,**,**,**,**,**,14-14-13-10,35.3,16.4,6.0,474(0),,,,474(0),,,202406050811,2024年12月22日,芝,2500,良
12,2,4,ブローザホーン,牡5,58.0,菅原明良,2:33.1,3.1/2,**,**,**,**,**,10-11-13-13,35.7,35.1,11.0,432(+2),,,,432(+2),,,202406050811,2024年12月22日,芝,2500,良
13,5,9,ディープボンド,牡7,58.0,幸英明,2:33.3,1,**,**,**,**,**,3-2-2-3,36.7,49.7,12.0,502(-14),,,,502(-14),,,202406050811,2024年12月22日,芝,2500,良
14,4,7,スターズオンアース,牝5,56.0,川田将雅,2:33.6,2,**,**,**,**,**,3-5-5-13,36.7,17.6,8.0,498(-2),,,,498(-2),,,202406050811,2024年12月22日,芝,2500,良
15,8,15,ハヤヤッコ,牡8,58.0,吉田豊,2:33.7,アタマ,**,**,**,**,**,3-4-2-5,37.1,57.1,13.0,492(+12),,,,492(+12),,,202406050811,2024年12月22日,芝,2500,良
取,1,2,ドウデュース,牡5,58.0,武豊,,,,,,,,,,---,,計不,,,,計不,,,202406050811,2024年12月22日,芝,2500,良
1,5,5,ポッドベイダー,牡2,55.0,佐々木大,1:08.8,,**,**,**,**,**,1-1,33.9,1.2,1.0,462(-2),,,,462(-2),,550.0,202401010101,2024年07月20日,芝,1200,良
2,2,2,ニシノクードクール,牝2,55.0,武藤雅,1:09.1,1.3/4,**,**,**,**,**,2-2,34.1,10.2,4.0,452(-2),,,,452(-2),,220.0,202401010101,2024年07月20日,芝,1200,良
3,3,3,ロードヴェルト,牡2,55.0,横山武史,1:09.4,1.3/4,**,**,**,**,**,3-3,34.0,7.9,3.0,416(+6),,,,416(+6),,140.0,202401010101,2024年07月20日,芝,1200,良
4,1,1,ルージュアマリア,牝2,55.0,永野猛蔵,1:10.0,3.1/2,**,**,**,**,**,5-5,34.4,5.9,2.0,410(+6),,,,410(+6),,83.0,202401010101,2024年07月20日,芝,1200,良
5,4,4,ロードヴァルカン,牡2,54.0,角田大河,1:10.1,クビ,**,**,**,**,**,3-3,34.7,21.3,5.0,438(-2),,,,438(-2),,55.0,202401010101,2024年07月20日,芝,1200,良
1,2,2,タミゼ,牝3,55.0,北村友一,0:59.5,,**,**,**,**,**,3-3,35.5,3.9,2.0,474(-2),,,,474(-2),,550.0,202401010102,2024年07月20日,ダ,1000,良
2,5,6,タマモアルタイル,牡3,57.0,武豊,1:00.0,3,**,**,**,**,**,5-3,35.9,9.4,6.0,494(+4),,,,494(+4),,220.0,202401010102,2024年07月20日,ダ,1000,良
3,6,8,ウィスピースノー,牝3,54.0,角田大河,1:00.1,クビ,**,**,**,**,**,8-8,35.3,44.4,9.0,434(0),,,,434(0),,140.0,202401010102,2024年07月20日,ダ,1000,良
4,6,7,スキーサンダー,牝3,52.0,小林勝太,1:00.1,クビ,**,**,**,**,**,2-2,36.2,3.9,1.0,474(-2),,,,474(-2),,83.0,202401010102,2024年07月20日,ダ,1000,良
5,7,10,ゴールドタリスマン,牝3,55.0,武藤雅,1:00.2,クビ,**,**,**,**,**,6-6,35.8,90.0,10.0,424(+8),,,,424(+8),,55.0,202401010102,2024年07月20日,ダ,1000,良
6,3,3,コパマエチャン,牝3,52.0,長浜鴻緒,1:00.2,アタマ,**,**,**,**,**,1-1,36.4,16.0,8.0,476(0),,,,476(0),,,202401010102,2024年07月20日,ダ,1000,良
7,4,4,スリーボビー,牡3,57.0,永野猛蔵,1:00.2,クビ,**,**,**,**,**,9-9,35.1,14.1,7.0,482(-4),,,,482(-4),,,202401010102,2024年07月20日,ダ,1000,良
8,8,12,メトゥス,牡3,57.0,佐々木大,1:00.4,1,**,**,**,**,**,6-6,36.0,6.1,4.0,458(+6),,,,458(+6),,,202401010102,2024年07月20日,ダ,1000,良
9,7,9,ブートストラップ,セ3,54.0,川端海翼,1:01.1,4,**,**,**,**,**,12-12,35.6,167.0,11.0,486(-6),,,,486(-6),,,202401010102,2024年07月20日,ダ,1000,良
10,8,11,クミンフレイバー,牝3,55.0,鮫島克駿,1:01.2,1/2,**,**,**,**,**,3-3,37.2,8.2,5.0,438(+4),,,,438(+4),,,202401010102,2024年07月20日,ダ,1000,良
11,1,1,ロマンスヒコー,牡3,57.0,大野拓弥,1:01.4,1.1/4,**,**,**,**,**,9-9,36.3,172.5,12.0,444(-8),,,,444(-8),,,202401010102,2024年07月20日,ダ,1000,良
12,5,5,タイセイフォルテ,牡3,57.0,横山武史,1:01.8,2.1/2,**,**,**,**,**,11-11,36.5,5.7,3.0,486(0),,,,486(0),,,202401010102,2024年07月20日,ダ,1000,良
1,3,4,メイショウソムリエ,牡3,57.0,武豊,1:46.9,,**,**,**,**,**,3-3-3-2,38.5,3.6,2.0,522(+14),,,,522(+14),,550.0,202401010103,2024年07月20日,ダ,1700,良
2,5,7,リアルペガサス,牡3,57.0,菱田裕二,1:47.6,4,**,**,**,**,**,10-10-8-7,38.6,10.0,6.0,456(0),,,,456(0),,220.0,202401010103,2024年07月20日,ダ,1700,良
3,4,6,クラウンクーロン,牡3,57.0,丹内祐次,1:47.8,1.1/4,**,**,**,**,**,1-1-1-1,39.7,6.8,4.0,442(-6),,,,442(-6),,140.0,202401010103,2024年07月20日,ダ,1700,良
4,3,3,エナアニマル,牡3,57.0,横山和生,1:47.8,アタマ,**,**,**,**,**,12-12-10-9,38.5,9.7,5.0,450(+8),,,,450(+8),,83.0,202401010103,2024年07月20日,ダ,1700,良
