着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,category
1,6,9,ロードイモータル,牡4,56,笹川翼,1:46.6,,**,-,-,-,-,3-3-1-1,42.0,2.0,1,504(+3),,,,"[地]
福永敏",中村伊三美,80.0,202444030101,NAR
2,5,7,タイムパワー,牡8,56,野畑凌,1:46.9,1.3/4,**,-,-,-,-,10-7-4-3,42.2,129.2,11,455(-7),,,,"[地]
赤嶺本浩",二瓶徹,32.0,202444030101,NAR
3,1,1,ゴールデンナイト,牡6,56,服部茂史,1:47.0,1/2,**,-,-,-,-,6-4-6-5,41.8,21.5,5,487(-7),,,,"[地]
福永敏",嶋田賢,20.0,202444030101,NAR
4,7,11,ミトノベルーガー,牡7,56,石川駿介,1:47.1,3/4,**,-,-,-,-,9-10-8-8,41.9,15.9,4,444(+6),,,,"[地]
高橋清顕",（有）トニーステー,12.0,202444030101,NAR
5,3,3,ウエイトジャッジ,牡6,56,安藤洋一,1:47.4,1.1/2,**,-,-,-,-,11-11-9-9,41.8,38.0,7,546(-3),,,,"[地]
米田英世",村上卓史,8.0,202444030101,NAR
6,4,4,サウンドズーム,牡4,56,達城龍次,1:47.5,1/2,**,-,-,-,-,4-4-5-5,42.7,3.1,2,485(+1),,,,"[地]
鈴木啓之",会田裕一,,202444030101,NAR
7,8,12,グリーンジェイド,牡5,56,遠藤健太,1:47.5,クビ,**,-,-,-,-,7-8-7-7,42.3,128.7,10,459(-7),,,,"[地]
久保田信",豊島愛子,,202444030101,NAR
8,4,5,ビーザチェンジ,牡8,56,岡村健司,1:47.8,1.1/2,**,-,-,-,-,12-12-10-10,42.2,24.4,6,510(+1),,,,"[地]
吉井竜一",（有）馬の友舎,,202444030101,NAR
9,7,10,リュウワンヒメ,牝5,54,中村尚平,1:48.3,2.1/2,**,-,-,-,-,13-13-13-13,41.9,395.0,13,470(+1),,,,"[地]
庄子昭彦",門脇竜一,,202444030101,NAR
10,2,2,フルールドレジーナ,牝5,54,和田譲治,1:49.0,3.1/2,**,-,-,-,-,1-1-3-2,44.4,4.6,3,538(+4),,,,"[地]
蛯名雄太",中山博,,202444030101,NAR
11,8,13,ダイヤプリーモ,牝4,54,江里口裕,1:49.4,2,**,-,-,-,-,5-6-11-11,43.8,279.4,12,449(-6),,,,"[地]
井上弘之",諸岡慶,,202444030101,NAR
12,5,6,ウォーバックス,セ6,56,藤本現暉,1:49.4,アタマ,**,-,-,-,-,8-9-12-12,43.6,56.7,9,476(-1),,,,"[地]
遠藤茂",今中俊平,,202444030101,NAR
13,6,8,エルマスフエルテ,牡8,56,藤田凌,1:49.5,1/2,**,-,-,-,-,2-2-2-3,44.9,41.9,8,488(+5),,,,"[地]
久保杉隆",小野寺悠太,,202444030101,NAR
1,6,11,ファルダ,牝4,54,矢野貴之,1:17.3,,**,-,-,-,-,1-1,39.3,1.5,1,483(-4),,,,"[地]
鷹見浩",橋元勇氣,80.0,202444030102,NAR
2,2,3,アンタゴニスタ,牡5,56,栗原大河,1:18.0,3.1/2,**,-,-,-,-,6-7,39.6,24.4,8,493(-1),,,,"[地]
小野寺晋",梶原哲朗,32.0,202444030102,NAR
3,4,7,キタサンリボン,牝5,54,川島正太,1:18.0,アタマ,**,-,-,-,-,3-3,39.8,7.7,2,483(+4),,,,"[地]
辻野豊",（有）大野商事,20.0,202444030102,NAR
4,3,5,エドノテーラー,牝7,53,菅原涼太,1:18.2,1,**,-,-,-,-,2-2,40.1,65.8,10,458(+1),,,,"[地]
渡辺和雄",遠藤喜松,12.0,202444030102,NAR
5,5,9,ミハルンルン,牝4,54,本村直樹,1:18.3,1/2,**,-,-,-,-,10-10,39.6,424.9,14,454(-3),,,,"[地]
高岩孝敏",八巻弘一,8.0,202444030102,NAR
6,1,1,ユウユウスターリー,牝6,54,安藤洋一,1:18.3,クビ,**,-,-,-,-,5-4,40.0,13.0,4,420(-1),,,,"[地]
月岡健二",北原大史,,202444030102,NAR
7,7,13,ハースファイア,セ6,55,木間塚龍,1:18.5,1,**,-,-,-,-,7-6,40.1,259.4,13,436(-2),,,,"[地]
栗田泰昌",酒井孝敏,,202444030102,NAR
8,3,6,アースリンゴ,牝4,54,石川駿介,1:18.7,3/4,**,-,-,-,-,12-11,39.8,473.4,15,430(+3),,,,"[地]
納谷和玖",松山増男,,202444030102,NAR
9,5,10,トニージャスティス,牡5,56,江里口裕,1:18.7,ハナ,**,-,-,-,-,13-13,39.6,9.4,3,482(-4),,,,"[地]
高橋清顕",（有）トニーステー,,202444030102,NAR
10,8,15,サツキジャスミン,牝7,54,藤田凌,1:18.7,クビ,**,-,-,-,-,11-12,39.9,14.8,5,453(-3),,,,"[地]
庄子昭彦",鳴田啓志,,202444030102,NAR
11,8,16,フレンチバローズ,牡7,56,藤本現暉,1:18.8,クビ,**,-,-,-,-,14-14,39.6,22.2,7,544(-3),,,,"[地]
月岡健二",池田俊道,,202444030102,NAR
12,1,2,アイスラリマー,牝5,54,岡村健司,1:18.8,ハナ,**,-,-,-,-,9-9,40.2,113.1,12,435(-2),,,,"[地]
高岩孝敏",北原大史,,202444030102,NAR
13,2,4,ゴールデンボイス,牡8,56,本橋孝太,1:18.8,クビ,**,-,-,-,-,16-15,39.3,19.1,6,503(+2),,,,"[地]
村上頼章",小田和子,,202444030102,NAR
14,6,12,ストームインレース,牡4,53,木澤奨,1:19.0,1,**,-,-,-,-,8-8,40.4,574.1,16,493(+4),,,,"[地]
赤嶺本浩",谷謙介,,202444030102,NAR
15,7,14,トレジャーバローズ,牡6,53,鷹見陸,1:19.4,2,**,-,-,-,-,15-16,39.9,78.1,11,442(-3),,,,"[地]
鷹見浩",生垣博志,,202444030102,NAR
16,4,8,ヒットザフロント,牝4,54,服部茂史,1:20.1,3.1/2,**,-,-,-,-,4-5,41.8,50.1,9,462(+1),,,,"[地]
佐野謙二",吉木伸彦,,202444030102,NAR
1,2,2,ムットクルフェ,牡3,57,矢野貴之,1:45.2,,**,-,-,-,-,1-1-1-1,40.8,3.0,2,500(-2),,,,"[地]
的場直之",会田裕一,280.0,202444030103,NAR
2,4,4,ロデオ,牡3,56,笹川翼,1:45.2,アタマ,**,-,-,-,-,3-3-3-3,40.8,1.6,1,498(-10),,,,"[地]
森下淳平",石川達絵,112.0,202444030103,NAR
3,6,6,ルーラーオブダート,牡3,56,森泰斗,1:45.3,3/4,**,-,-,-,-,9-7-4-4,40.5,7.6,3,450(+6),,,,"[地]
藤田輝信",吉田照哉,70.0,202444030103,NAR
4,3,3,ゲールタクト,牡3,56,野畑凌,1:45.6,1.1/2,**,-,-,-,-,2-2-2-2,41.2,52.1,6,459(+2),,,,"[地]
月岡健二",高樽さゆり,42.0,202444030103,NAR
5,8,9,スマイルクオーツ,牝3,54,服部茂史,1:46.4,4,**,-,-,-,-,6-6-6-6,41.3,157.2,8,441(-1),,,,"[地]
阪本一栄",金石守,28.0,202444030103,NAR
6,5,5,イチニチショチョウ,牡3,56,江里口裕,1:46.6,1.1/4,**,-,-,-,-,4-4-5-5,41.7,63.7,7,486(+3),,,,"[地]
嶋田幸晴",小菅誠,,202444030103,NAR
7,8,8,ポンドボーイ,牡3,56,藤田凌,1:46.9,1.1/2,**,-,-,-,-,5-5-7-7,41.4,15.0,5,464(-5),,,,"[地]
朝倉実",小池保則,,202444030103,NAR
8,7,7,マロンスイーツ,牡3,55,菅原涼太,1:47.9,5,**,-,-,-,-,8-8-9-8,42.1,11.4,4,483(+7),,,,"[地]
辻野豊",田頭勇貴,,202444030103,NAR
9,1,1,ノブトモ,牡3,56,安藤洋一,1:49.2,6,**,-,-,-,-,7-8-8-9,43.3,187.6,9,502(+1),,,,"[地]
朝倉実",（株）ＭＭＣ,,202444030103,NAR
1,7,8,チャダルクン,牡3,57,野畑凌,1:29.1,,**,-,-,-,-,1-2-2,38.1,3.9,2,521(+4),,,,"[地]
赤嶺本浩",伊原初,280.0,202444030104,NAR
2,2,2,スマイルモア,牡3,56,西啓太,1:29.5,2,**,-,-,-,-,2-1-1,38.7,4.5,4,494(-1),,,,"[地]
坂井英光",山田徳光,112.0,202444030104,NAR
3,4,4,ビッティンキバラ,牡3,57,矢野貴之,1:29.9,2,**,-,-,-,-,4-3-3,38.5,2.9,1,516(+8),,,,"[地]
佐野謙二",是枝浩平,70.0,202444030104,NAR
4,8,11,チャンチャン,牡3,56,石川駿介,1:31.1,6,**,-,-,-,-,11-10-10,38.3,65.3,8,457(-1),,,,"[地]
納谷和玖",石川貴久,42.0,202444030104,NAR
5,7,9,ジェイケイクロード,牡3,56,達城龍次,1:31.1,アタマ,**,-,-,-,-,4-5-5,39.3,8.2,5,482(-1),,,,"[地]
中道啓二",小谷野次郎,28.0,202444030104,NAR
6,6,7,エスケンドリーム,牡3,56,森泰斗,1:31.4,1.1/2,**,-,-,-,-,7-6-6,39.6,4.4,3,532(+2),,,,"[地]
鷹見浩",菊地博,,202444030104,NAR
7,3,3,ゼイトク,牡3,56,藤田凌,1:31.5,クビ,**,-,-,-,-,9-9-9,39.0,71.0,9,461(-12),,,,"[地]
上杉昌宏",阿部哲也,,202444030104,NAR
8,8,10,シーザーキック,牡3,56,岡村健司,1:32.4,4,**,-,-,-,-,10-8-8,40.3,183.0,10,469(-4),,,,"[地]
吉井竜一",佐野幸一郎,,202444030104,NAR
9,6,6,シントーキリンジ,牡3,56,御神本訓,1:33.6,6,**,-,-,-,-,3-4-4,42.1,27.0,6,497(+8),,,,"[地]
田中正人",中野辰三,,202444030104,NAR
